Var1,Var2,Corr,Abs_Corr
pvoixREGratio,pvoixENSratio,-0.11823588557686096,0.11823588557686096
pvoixENSratio,perprive2021comm,0.11789991098396765,0.11789991098396765
part_etranger,nmencomp,0.11765154799337697,0.11765154799337697
part_etranger,pvoteCGratio,0.11760458514260931,0.11760458514260931
pvoteGCGratio,perpropri2022,-0.11755978967040873,0.11755978967040873
pempl2022,pbac2022,-0.11743982362955292,0.11743982362955292
percrimesdelits2020,part_etranger,0.11726261161643162,0.11726261161643162
psup2022,pvoteCratio,0.11680218632510858,0.11680218632510858
psup2022,pvoteGCGratio,0.11626028823474983,0.11626028823474983
pvoteDCDratio,part_francais,0.11600438258010072,0.11600438258010072
peretr2022,pvoixLRratio,-0.11505095820297762,0.11505095820297762
pcadr2022,pvoteCratio,0.11450892182602387,0.11450892182602387
popagglo2022,pvoixNUPratio,0.11447251812247172,0.11447251812247172
prixm2ratio2022,paind2022,-0.11417773605930048,0.11417773605930048
pbac2022,pvoteGCGratio,0.11380934370720601,0.11380934370720601
paind2022,capitalratio2022,-0.11365324104324956,0.11365324104324956
perrsa2021,pouem2022,0.11349023739202682,0.11349023739202682
pvoteTDratio,popagglo2022,-0.11338857090100195,0.11338857090100195
pvoteTGratio,popagglo2022,0.11338857037858516,0.11338857037858516
capitalratio2022,pvoixAUGratio,-0.11282004136487098,0.11282004136487098
pvoixECOratio,pvoixENSratio,0.11222691160476062,0.11222691160476062
popagglo2022,pvoteGratio,0.11207529241684745,0.11207529241684745
pop2022,capitalratio2022,0.11205050702187273,0.11205050702187273
part_francais,capitalratio2022,-0.11185816724110342,0.11185816724110342
pvoteDratio,popagglo2022,-0.11160768863311915,0.11160768863311915
perpropri2022,pvoixRNratio,0.11139089897096956,0.11139089897096956
pvoteGCGratio,pvoixRECratio,-0.11098619143943426,0.11098619143943426
pcapi2022,popagglo2022,0.1104626629924237,0.1104626629924237
pvoixNUPratio,psup2022,0.11036832602004444,0.11036832602004444
peretr2022,pvoixDVGratio,0.11033577089678528,0.11033577089678528
pouvr2022,pvoteDCDratio,0.10978580210407338,0.10978580210407338
pempl2022,pchom2022,0.10977653982817098,0.10977653982817098
